Other,Tool,Economic,Connection,Info,Spanish,age,inc,party_lean,marital,educ2,emplnw,hisp,racem1
,,,,1,English,59,8,3,1,6,2,2,1
,,,1,,English,79,7,2,6,7,3,2,5
,1,,,1,English,77,6,3,1,7,3,2,1
,,,1,,English,91,2,1,5,3,3,2,1
1,,,,,English,83,4,2,5,6,3,2,1
1,,,,,English,74,2,2,3,3,3,2,1
,,,,1,English,62,8,1,1,8,3,2,1
,,,,1,English,19,9,1,6,4,2,2,2
,,,,1,English,18,99,2,1,6,2,2,1
,1,,,,English,31,9,3,1,7,1,9,9
,,,,1,English,22,2,2,6,4,7,2,1
,,,1,,English,19,9,1,6,4,4,2,1
,,,1,1,English,54,6,1,3,4,1,1,1
,,,1,,English,44,2,1,3,3,5,2,1
,,,1,1,English,33,1,1,6,3,1,1,7
,,,,1,English,19,6,1,1,4,1,2,1
,,,,1,English,65,8,1,1,4,5,2,1
,,,1,,English,37,2,2,4,6,1,2,1
,,,1,1,English,52,7,3,1,5,2,2,1
,,,,1,English,82,99,2,1,7,3,2,1
,,,1,,English,53,99,3,5,4,5,2,1
,,,,1,English,80,7,2,1,3,3,2,1
,,1,,,English,25,7,1,6,6,1,2,3
1,,,,,English,62,7,2,1,4,3,2,1
,,,,1,English,53,4,1,5,6,3,2,1
,,,,1,English,19,98,2,6,3,2,1,1
,,,,1,English,40,9,2,1,6,1,2,3
,,,,1,English,75,6,1,1,3,3,2,1
,,,1,,English,33,7,2,1,6,1,2,1
1,,,,,English,55,2,2,6,3,2,2,2
,,,1,1,English,52,9,1,1,4,2,2,1
,,,1,,English,56,7,3,6,6,1,1,1
,,,1,,English,59,9,1,1,7,1,2,1
,,,1,,English,24,8,2,2,7,1,2,2
,1,1,,1,English,33,2,1,3,3,2,2,1
,,1,,1,English,40,8,1,1,5,1,8,1
,,,1,1,English,70,6,2,1,6,3,1,1
