Other,Tool,Economic,Connection,Info,Language,age,inc,party_lean,marital,educ2,emplnw,hisp,racem1,cregion,state,sex,Info,Knowledge,News,Education,Access,Find,Research,Share,Up to Date,Learn,Quantity,Speed,Ease,Quality,Freely,Other
,,,1,,1,57,7,2,5,6,1,2,1,3,12,2,,,,,,,,,,,,,,,,
1,,,,,1,50,99,9,1,7,1,2,1,1,42,1,,,,,,,,,,,,,,,,
,,,,1,1,47,9,1,1,6,1,2,1,2,27,2,1,,,,1,,,,,,,,,,,
,,,1,,1,44,99,2,1,8,1,2,3,1,36,2,,,,,,,,,,,,,,,,
,,,,1,1,80,7,1,1,6,3,2,1,3,48,2,1,,,,1,,,,,,,1,1,,,1
,,,,1,1,28,4,2,6,6,1,2,1,3,11,1,1,,,,,,,1,,,,,,1,1,1
,,,,1,1,50,9,1,1,4,1,2,1,3,21,1,1,,,,,,,,,,1,,,,,
1,,,,,1,50,6,2,1,4,1,2,1,3,48,2,,,,,,,,,,,,,,,,
,,,1,,1,39,6,3,1,6,1,2,1,1,23,2,,,,,,,,,,,,,,,,
,,,,1,1,25,5,4,6,3,2,2,1,1,50,2,1,,,,1,,,,,,,,,,,1
1,,,,,1,68,7,2,2,3,3,2,1,3,54,1,,,,,,,,,,,,,,,,
,,,,1,1,58,6,1,1,5,1,2,1,3,47,2,,1,,,,,,,,,,,,,,
,,,,1,1,27,8,3,1,7,1,2,3,1,25,2,,1,,,,1,,,,,,,,,,
,,,1,,1,18,2,8,6,2,4,1,7,4,6,1,,,,,,,,,,,,,,,,
,,,,1,1,55,99,1,1,6,1,2,1,4,8,1,1,,,,,,,,,,,,,,,
,,,,1,1,25,3,2,2,6,2,2,1,1,42,1,1,,,,1,,,,,,,,,,,
,,,,1,1,67,2,4,3,6,3,2,1,2,27,2,1,,,,,,,,,,,,1,,,
,,,,1,1,60,8,2,1,1,1,2,3,3,51,1,1,,,,,,,,,,,,,,,
,,,,1,1,22,7,2,6,6,7,1,1,3,48,2,1,,,,,,1,,,,,,,,,
,,,,1,1,40,9,1,1,3,5,2,1,4,30,1,1,,,,,,,,,,,,,,,
1,,,,,1,84,99,1,5,4,3,2,1,3,48,2,,,,,,,,,,,,,,,,
,,,,1,1,56,9,2,1,4,1,2,1,4,6,1,1,,,,1,,,1,,,,,,,,1
,,,1,,1,43,8,1,1,7,1,2,1,4,6,1,,,,,,,,,,,,,,,,
,1,,,1,1,45,9,1,1,3,1,2,1,1,36,1,1,,,,,1,,,,,,,,,,
,,,,1,1,67,3,1,1,4,3,2,5,4,2,1,1,,,,1,,,,,,,,,,,
,,,,1,1,35,8,4,1,5,1,2,1,3,51,1,1,,,,,,,,,,,,,,,
,,,1,,1,46,8,2,1,6,1,2,1,4,6,1,,,,,,,,,,,,,,,,
,,,,1,1,70,99,1,6,7,3,2,1,4,16,1,,,1,,,,,,1,,,,,1,,
,,,,1,1,72,6,2,1,6,4,2,1,1,34,1,1,,,,,,,1,,,,,,,,1
,,,1,,1,50,1,1,2,4,4,1,7,2,26,1,,,,,,,,,,,,,,,,
,,,,1,1,76,3,3,6,6,3,2,1,3,24,1,1,,,,1,,1,,,,,,,,,
,,,1,1,1,29,5,2,6,6,1,2,1,3,48,2,1,,,,,,,,,,,,,,1,
,1,,,,1,43,3,2,1,6,1,1,7,4,53,1,,,,,,,,,,,,,,,,
,,,1,,1,63,99,3,1,6,3,2,1,1,34,1,,,,,,,,,,,,,,,,
,,,1,,1,18,98,4,6,3,4,2,1,4,16,1,,,,,,,,,,,,,,,,
,,,,1,1,79,8,2,1,6,3,2,1,4,6,2,1,,,1,,,,,,,,,,,,
,,,,1,1,47,9,1,1,8,1,2,1,4,53,2,1,,,,1,,,,,,,,,,,
,,,,1,1,60,9,2,1,6,3,2,1,4,6,2,1,,,,,,,,,,,,,,,
1,,,,,1,46,9,3,1,7,1,2,3,4,6,1,,,,,,,,,,,,,,,,
,,,1,,1,74,99,1,1,4,3,2,1,2,17,1,,,,,,,,,,,,,,,,
,,,1,,1,19,1,2,6,3,4,2,2,2,26,2,,,,,,,,,,,,,,,,
,,,,1,1,44,99,9,1,7,5,2,2,3,12,1,1,,,,1,,,,,,,,,,,
,,,1,1,1,67,8,1,1,6,1,2,1,3,48,1,,1,,,1,,,,,,,,,,,
,1,,,,1,73,2,2,3,4,3,2,2,3,13,2,,,,,,,,,,,,,,,,
,,,1,,1,67,7,2,6,3,1,2,1,1,25,2,,,,,,,,,,,,,,,,
,,,1,,1,68,3,1,3,4,3,2,1,3,13,2,,,,,,,,,,,,,,,,
,,,,1,1,43,8,3,1,3,1,2,1,4,8,1,,1,,,,,,,,,,,1,,,
1,,,,,1,69,7,1,1,4,3,2,1,4,6,1,,,,,,,,,,,,,,,,
,,,1,,1,65,9,1,6,5,1,2,1,3,24,1,,,,,,,,,,,,,,,,
,,1,,1,1,44,9,2,4,7,1,2,1,4,6,1,1,,1,,,,,,,,,,,,,
,,,,1,1,22,2,2,6,3,4,2,2,2,17,1,,,,,,,1,,,,,,,,,
,,,1,,1,19,5,2,6,4,2,1,7,1,34,2,,,,,,,,,,,,,,,,
,,,,1,1,72,6,1,1,5,3,2,1,3,12,2,,1,,,1,,,,,,,,,,,
,,,,1,1,26,3,2,2,4,2,2,1,3,45,2,,,1,,,,,,,,,,,,,
1,,,,,1,20,6,1,6,3,2,2,1,2,17,1,,,,,,,,,,,,,,,,
,,,1,,1,62,99,2,5,7,1,2,1,2,26,2,,,,,,,,,,,,,,,,
